30,1,1,2,0,1,0,0,4,4,487,2,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,1
39,7,2,3,0,0,0,1,4,4,346,4,999,0,1,1.1,93.994,-36.4,4.855,5191,1
25,7,1,3,0,1,0,1,5,2,227,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,1
38,7,1,2,0,2,2,1,5,4,17,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
47,0,1,6,0,1,0,0,10,0,58,1,999,0,1,-0.1,93.2,-42,4.191,5195.8,1
32,7,2,6,0,0,0,0,8,3,128,3,999,2,0,-1.1,94.199,-37.5,0.884,4963.6,1
32,0,2,6,0,1,0,0,8,0,290,4,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,1
41,2,1,6,2,1,0,0,10,0,44,2,999,0,1,-0.1,93.2,-42,4.191,5195.8,1
31,7,0,5,0,0,0,0,10,1,68,1,999,1,0,-0.1,93.2,-42,4.153,5195.8,1
35,1,1,2,2,0,0,1,4,3,170,1,999,0,1,1.1,93.994,-36.4,4.855,5191,1
25,7,2,1,2,1,0,0,6,3,301,1,999,0,1,1.4,93.918,-42.7,4.958,5228.1,1
36,6,2,0,0,0,0,0,6,3,148,1,999,0,1,1.4,93.918,-42.7,4.968,5228.1,1
36,0,1,3,0,0,0,1,4,2,97,2,999,0,1,1.1,93.994,-36.4,4.859,5191,1
47,1,1,0,0,1,0,1,5,3,211,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,1
29,0,2,3,0,0,0,0,4,4,553,2,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,1
27,7,2,6,0,0,0,0,6,2,698,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
44,0,0,6,0,0,0,0,6,2,191,6,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
46,0,0,6,0,1,0,1,6,0,59,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
45,2,1,6,2,1,1,0,7,0,38,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
50,1,1,0,0,0,1,0,6,1,849,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
55,7,1,1,2,1,0,0,6,1,326,6,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
39,9,0,3,0,0,0,0,2,0,222,1,12,2,2,-1.8,93.369,-34.8,0.639,5008.7,0
29,9,2,6,0,1,1,0,7,2,626,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1,1
40,4,1,3,0,0,1,0,7,2,119,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
44,9,1,5,2,1,0,1,4,4,388,7,999,0,1,1.1,93.994,-36.4,4.864,5191,1
38,9,1,5,0,1,0,0,7,0,479,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
36,9,0,5,0,0,0,1,4,2,446,1,999,0,1,1.1,93.994,-36.4,4.856,5191,1
28,1,1,1,2,0,0,0,4,0,68,2,999,1,0,-1.8,92.893,-46.2,1.299,5099.1,1
47,0,2,7,2,0,0,1,4,3,127,1,999,0,1,1.1,93.994,-36.4,4.86,5191,1
34,0,1,6,0,0,0,0,7,1,109,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
38,9,1,6,0,1,1,0,2,1,113,1,999,1,0,-1.8,92.843,-50,1.687,5099.1,1
33,7,1,3,2,1,0,1,5,0,393,3,999,0,1,1.4,94.465,-41.8,4.865,5228.1,1
51,9,2,6,0,0,0,0,5,4,151,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
30,1,2,0,2,1,0,1,5,1,256,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
48,9,1,6,0,0,0,0,7,3,42,7,999,0,1,1.4,93.444,-36.1,4.962,5228.1,1
28,1,2,2,0,1,0,1,5,2,525,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
36,1,1,1,0,1,0,1,4,2,57,1,999,0,1,1.1,93.994,-36.4,4.859,5191,1
